Cell	Group	ExpLibSize
Cell827	Group1	50268.8794015036
Cell828	Group1	39475.568744719
Cell829	Group1	61007.5911541043
Cell830	Group1	59852.3537440894
Cell831	Group1	59717.4689929843
Cell832	Group1	68431.8483853035
Cell833	Group1	59716.6681801604
Cell834	Group1	69927.1598785121
Cell835	Group1	40048.757707374
Cell836	Group1	47780.0707204649
Cell837	Group1	64200.0914618948
Cell838	Group1	55793.9267913102
Cell839	Group1	72327.1545749788
Cell840	Group1	48974.5487798279
Cell841	Group1	69201.6888392456
Cell842	Group1	52377.555678347
Cell843	Group1	47924.9709259718
Cell844	Group1	55906.669434607
Cell845	Group1	60473.217776942
Cell846	Group1	46838.6318227973
Cell847	Group1	51389.9968060209
Cell848	Group1	46665.6481662589
Cell849	Group1	73376.1915038558
Cell850	Group1	69197.6737569566
Cell851	Group1	48702.9349212875
Cell852	Group1	66934.4593417193
Cell853	Group1	56890.5039131098
Cell854	Group1	47921.601310996
Cell855	Group1	65136.4440453631
Cell856	Group1	56129.114819731
Cell857	Group1	71398.7742089412
Cell858	Group1	57585.5690889822
Cell859	Group1	75933.3299234443
Cell860	Group1	54070.6658907685
Cell861	Group1	62561.7659032569
Cell862	Group1	64476.6798228016
Cell863	Group1	63311.4628076144
Cell864	Group1	62341.8661223011
Cell865	Group1	59718.7124423553
Cell866	Group1	58795.8762006029
Cell867	Group1	78669.142953272
Cell868	Group1	71799.0205642353
Cell869	Group1	52998.6841951578
Cell870	Group1	79164.8324322833
Cell871	Group1	61633.4286157411
Cell872	Group1	52674.0732973272
Cell873	Group1	61942.4156070388
Cell874	Group1	58021.128200611
Cell875	Group1	61095.1594678477
Cell876	Group1	49282.344352815
Cell877	Group1	50819.475950684
Cell878	Group1	78635.9138918647
Cell879	Group1	72567.626552352
Cell880	Group1	50174.1435930754
Cell881	Group1	50010.1656583887
Cell882	Group1	84513.5052957252
Cell883	Group1	87711.5117370101
Cell884	Group1	51255.169531905
Cell885	Group1	46144.771849426
Cell886	Group1	101184.314965498
Cell887	Group1	62688.0289697046
Cell888	Group1	62152.7272944121
Cell889	Group1	60792.8417707932
Cell890	Group1	79298.305348665
Cell891	Group1	57621.7599891115
Cell892	Group1	80167.8974726535
Cell893	Group1	57289.2863068496
Cell894	Group1	66239.2970777986
Cell895	Group1	48693.4887444287
Cell896	Group1	61950.7314624989
Cell897	Group1	76125.1238681267
Cell898	Group1	57949.0130201704
Cell899	Group1	77380.8933085087
Cell900	Group1	103304.816213889
Cell901	Group1	72285.934341972
Cell902	Group1	56969.8347912074
Cell903	Group1	61040.6779129642
Cell904	Group1	54896.9906973668
Cell905	Group1	92571.2200277874
Cell906	Group1	33131.6426552773
Cell907	Group1	60850.6419358456
Cell908	Group1	61207.6561351415
Cell909	Group1	62485.4910304696
Cell910	Group1	43845.8817870651
Cell911	Group1	62520.0328052616
Cell912	Group1	62164.0889175709
Cell913	Group1	77012.6077960038
Cell914	Group1	66483.1330536803
Cell915	Group1	74838.7333517991
Cell916	Group1	49439.2316804035
Cell917	Group1	58402.7866348975
Cell918	Group1	62214.7610077744
Cell919	Group1	63224.2652401482
Cell920	Group1	52116.5120392201
Cell921	Group1	80485.6658978245
Cell922	Group1	52978.772618366
Cell923	Group1	43353.2957188313
Cell924	Group1	64893.1936076797
Cell925	Group1	68385.1578424896
Cell926	Group1	72317.7884255096
Cell927	Group1	49550.5104023241
Cell928	Group1	56973.544651372
Cell929	Group1	45904.237235746
Cell930	Group1	70894.8270340019
Cell931	Group1	64185.9325486307
Cell932	Group1	71879.940798846
Cell933	Group1	67619.7183236789
Cell934	Group1	53023.4953312538
Cell935	Group1	62064.6345762782
Cell936	Group1	40876.8070385486
Cell937	Group1	66210.1631164101
Cell938	Group1	72676.9699020944
Cell939	Group1	50254.3593225121
Cell940	Group1	39057.6911468706
Cell941	Group1	44153.8093226142
Cell942	Group1	47924.223166437
Cell943	Group1	76741.4132036128
Cell944	Group1	59915.8518113777
Cell945	Group1	46743.9952586214
Cell946	Group1	66912.4162977318
Cell947	Group1	38691.3031952979
Cell948	Group1	56987.9492945751
Cell949	Group1	74799.8669724114
Cell950	Group1	55919.3276046548
Cell951	Group1	77737.0820078355
Cell952	Group1	85739.1455310948
Cell953	Group1	47402.628252233
Cell954	Group1	47550.2571049745
Cell955	Group1	49866.7090671378
Cell956	Group1	66552.4479326053
Cell957	Group1	70757.6392831234
Cell958	Group1	76254.1710156614
Cell959	Group1	77644.3845935165
Cell960	Group1	74246.5403407481
Cell961	Group1	72255.2454485152
Cell962	Group1	61862.8389716234
Cell963	Group1	50129.8685600328
Cell964	Group1	51780.4427283077
Cell965	Group1	64959.5080134788
Cell966	Group1	83843.5019270281
Cell967	Group1	84220.6959124828
Cell968	Group1	40731.8923268611
Cell969	Group1	50675.6296729204
Cell970	Group1	79524.9830332869
Cell971	Group1	48396.2716153164
Cell972	Group1	43359.6474582002
Cell973	Group1	67505.3557217844
Cell974	Group1	84676.4617902877
Cell975	Group1	88159.3201219412
Cell976	Group1	66606.943985117
Cell977	Group1	69143.0724928043
Cell978	Group1	66971.2483489724
Cell979	Group1	59657.9450824426
Cell980	Group1	30505.1921791752
Cell981	Group1	69712.8993320606
Cell982	Group1	55367.8638518976
Cell983	Group1	73275.4014882545
Cell984	Group1	52817.8969995226
Cell985	Group1	43177.9197254033
Cell986	Group1	76806.8056470856
Cell987	Group1	62085.9807309737
Cell988	Group1	120458.533552907
Cell989	Group1	71906.2439920609
Cell990	Group1	73843.354945555
Cell991	Group1	69756.4373643495
Cell992	Group1	53067.6357208101
Cell993	Group1	55598.6426660431
Cell994	Group1	74010.7171215351
Cell995	Group1	73940.9518710352
Cell996	Group1	67278.3945553513
Cell997	Group1	49152.6732093134
Cell998	Group1	83861.7058659422
Cell999	Group1	45553.0013052622
Cell1000	Group1	54904.8590176456
Cell1001	Group2	95321.5982943925
Cell1002	Group2	66491.1700237683
Cell1003	Group2	72703.6365275081
Cell1004	Group2	64562.86500955
Cell1005	Group2	49060.686986058
Cell1006	Group2	53130.3399239267
Cell1007	Group2	61886.063295044
Cell1008	Group2	33333.0462673151
Cell1009	Group2	50534.7832141853
Cell1010	Group2	70243.0677382808
Cell1011	Group2	56404.7583822509
Cell1012	Group2	56572.4685578635
Cell1013	Group2	71246.705704078
Cell1014	Group2	53697.8876211945
Cell1015	Group2	67897.9177785283
Cell1016	Group2	45050.2182846473
Cell1017	Group2	46840.2180698182
Cell1018	Group2	42837.9168395292
Cell1019	Group2	60893.3770436889
Cell1020	Group2	57456.0086609213
Cell1021	Group2	79887.4723667487
Cell1022	Group2	59375.8928871314
Cell1023	Group2	78491.9142713624
Cell1024	Group2	88348.5490784486
Cell1025	Group2	54274.6395344292
Cell1026	Group2	64711.0862918505
Cell1027	Group2	50565.3252263545
Cell1028	Group2	69396.941406706
Cell1029	Group2	48245.0221583905
Cell1030	Group2	48761.9329410815
Cell1031	Group2	63434.2155512155
Cell1032	Group2	60971.5270100632
Cell1033	Group2	63103.0659023771
Cell1034	Group2	60710.1987911997
Cell1035	Group2	53866.8875111668
Cell1036	Group2	58335.118527407
Cell1037	Group2	82787.4491749422
Cell1038	Group2	59660.2337045811
Cell1039	Group2	45995.6506636194
Cell1040	Group2	50568.6939864221
Cell1041	Group2	48032.6864335115
Cell1042	Group2	50010.185386691
Cell1043	Group2	46526.7742426078
Cell1044	Group2	35412.856795648
Cell1045	Group2	68446.8732152857
Cell1046	Group2	68323.4484286009
Cell1047	Group2	56947.2063319689
Cell1048	Group2	51804.9268474225
Cell1049	Group2	50897.2245493431
Cell1050	Group2	64844.4670692674
Cell1051	Group2	62649.6087176184
Cell1052	Group2	65142.2563010997
Cell1053	Group2	59932.1032977925
Cell1054	Group2	67764.7063456972
Cell1055	Group2	65266.0184731206
Cell1056	Group2	66947.3972299629
Cell1057	Group2	66117.7324005518
Cell1058	Group2	83481.2344277214
Cell1059	Group2	48484.1916076289
Cell1060	Group2	80956.3125854743
Cell1061	Group2	56002.8728149807
Cell1062	Group2	59101.0429966727
Cell1063	Group2	60852.9944612255
Cell1064	Group2	54740.3863725721
Cell1065	Group2	35926.7926662857
Cell1066	Group2	56241.6853407422
Cell1067	Group2	60371.7542942324
Cell1068	Group2	42296.2787238262
Cell1069	Group2	66835.3848058995
Cell1070	Group2	53132.5631612167
Cell1071	Group2	79981.3179858033
Cell1072	Group2	63131.4047522671
Cell1073	Group2	51135.9697948716
Cell1074	Group2	61916.7762730345
Cell1075	Group2	63039.4891957888
Cell1076	Group2	71855.2870599845
Cell1077	Group2	58024.784863798
Cell1078	Group2	39867.823872465
Cell1079	Group2	46169.1375470651
Cell1080	Group2	50440.5083336199
Cell1081	Group2	65202.4979245593
Cell1082	Group2	56558.611288769
Cell1083	Group2	52951.2147174574
Cell1084	Group2	50565.3497710575
Cell1085	Group2	61743.1916322444
Cell1086	Group2	50499.2389495707
Cell1087	Group2	55293.7845132486
Cell1088	Group2	49612.8203813186
Cell1089	Group2	45358.3359224698
Cell1090	Group2	72477.8964475315
Cell1091	Group2	46004.7948539061
Cell1092	Group2	60755.0708943954
Cell1093	Group2	53442.5663613511
Cell1094	Group2	48451.0779723752
Cell1095	Group2	63061.3100588978
Cell1096	Group2	64513.3140526884
Cell1097	Group2	77105.7668566083
Cell1098	Group2	63898.1059584598
Cell1099	Group2	58238.7684250074
Cell1100	Group2	100759.702656612
Cell1101	Group2	52572.2195779582
Cell1102	Group2	48989.6021883488
Cell1103	Group2	53797.2278260312
Cell1104	Group2	58566.4383237352
Cell1105	Group2	67513.7144906915
Cell1106	Group2	65066.7543523041
Cell1107	Group2	58621.0936483532
Cell1108	Group2	50447.4506528213
Cell1109	Group2	75016.6574254739
Cell1110	Group2	71916.1635402986
Cell1111	Group2	51798.8942479534
Cell1112	Group2	68689.7877693171
Cell1113	Group2	65513.8702225813
Cell1114	Group2	73794.857103879
Cell1115	Group2	61693.0034312537
Cell1116	Group2	47657.0841887792
Cell1117	Group2	70298.0880547678
Cell1118	Group2	51753.9840069599
Cell1119	Group2	66532.2357389466
Cell1120	Group2	83675.0191082708
Cell1121	Group2	45081.8225217089
Cell1122	Group2	81828.6053596563
Cell1123	Group2	78482.598323094
Cell1124	Group2	53866.3169794429
Cell1125	Group2	56939.5492688502
Cell1126	Group2	52199.6183604493
Cell1127	Group2	53419.2512109766
Cell1128	Group2	67233.4571123697
Cell1129	Group2	50021.5003482897
Cell1130	Group2	57637.8081252779
Cell1131	Group2	58175.484969777
Cell1132	Group2	58728.7972939136
Cell1133	Group2	62086.8408657647
Cell1134	Group2	82397.8680050131
Cell1135	Group2	54706.2724591392
Cell1136	Group2	51073.6483360919
Cell1137	Group2	70154.6149274431
Cell1138	Group2	64608.06065658
Cell1139	Group2	62765.2965242885
Cell1140	Group2	67386.3431649541
Cell1141	Group2	45144.0586843149
Cell1142	Group2	74062.0962232109
Cell1143	Group2	65564.1004421756
Cell1144	Group2	72421.7969134393
Cell1145	Group2	53119.3452027933
Cell1146	Group2	41423.8462318894
Cell1147	Group2	54343.5979917075
Cell1148	Group2	49942.6505440239
Cell1149	Group2	93391.2082294641
Cell1150	Group2	55122.1375419774
Cell1151	Group2	57346.3932630426
Cell1152	Group2	74057.3968031752
Cell1153	Group2	67783.1762557256
Cell1154	Group2	68501.6649898302
Cell1155	Group2	101391.233583442
Cell1156	Group2	61896.7454492932
Cell1157	Group2	87643.7084596674
Cell1158	Group2	62990.7821924185
Cell1159	Group2	44720.8719912668
Cell1160	Group2	38351.5549302981
Cell1161	Group2	68182.0566494686
Cell1162	Group2	49028.1561340934
Cell1163	Group2	60378.8693029733
Cell1164	Group2	85426.2525980526
Cell1165	Group2	64179.3338666316
Cell1166	Group2	56533.0391967175
Cell1167	Group2	40744.8475253183
Cell1168	Group2	51014.7547216232
Cell1169	Group2	53363.1870353217
Cell1170	Group2	68654.4442247981
Cell1171	Group2	65952.5926363367
Cell1172	Group2	60041.584836401
Cell1173	Group2	62071.9048034271
Cell1174	Group2	56521.4420436673
Cell1175	Group2	60237.2038508574
Cell1176	Group2	63217.3976614539
Cell1177	Group2	65501.7203053778
Cell1178	Group2	86294.8786452023
Cell1179	Group2	47934.7148984303
Cell1180	Group2	80415.4407869432
Cell1181	Group2	68480.3753545123
Cell1182	Group2	43955.5551099622
Cell1183	Group2	56646.7873532185
Cell1184	Group2	52792.8688865178
Cell1185	Group2	49682.0961958747
Cell1186	Group2	44021.0277942113
Cell1187	Group2	54240.3074042125
Cell1188	Group2	54881.302567353
Cell1189	Group2	56122.4429863784
Cell1190	Group2	39647.2661931971
Cell1191	Group2	65401.5024889864
Cell1192	Group2	69513.0823654753
Cell1193	Group2	70117.5623717427
Cell1194	Group2	69852.9852238765
Cell1195	Group2	62323.9626198727
Cell1196	Group2	80311.6528894099
Cell1197	Group2	50247.1397152573
Cell1198	Group2	46848.7244600188
Cell1199	Group2	64059.4978248512
Cell1200	Group2	65392.6285278262
Cell1201	Group2	51570.0682069212
Cell1202	Group2	60314.1022834622
Cell1203	Group2	63873.6329193775
Cell1204	Group2	64597.7724178492
Cell1205	Group2	71347.051611649
Cell1206	Group2	72162.6297587364
Cell1207	Group2	36836.2795355502
Cell1208	Group2	84592.3236672911
Cell1209	Group2	65591.4433217089
Cell1210	Group2	53419.3292726759
Cell1211	Group2	47909.7887023815
Cell1212	Group2	71755.0025478584
Cell1213	Group2	63934.8070349705
Cell1214	Group2	74281.5581539505
Cell1215	Group2	59156.2122505021
Cell1216	Group2	57027.9197806806
Cell1217	Group2	93740.3975204012
Cell1218	Group2	39846.9604221058
Cell1219	Group2	64743.1312605441
Cell1220	Group2	64664.1782896442
Cell1221	Group2	65364.7969708941
Cell1222	Group2	66945.1014001844
Cell1223	Group2	56654.0481807581
Cell1224	Group2	75603.4817345116
Cell1225	Group2	36649.1147555129
Cell1226	Group2	50964.6099412002
Cell1227	Group2	58464.27072977
Cell1228	Group2	61860.8784546541
Cell1229	Group2	64944.9912136694
Cell1230	Group2	68041.1534659782
Cell1231	Group2	44280.3580363744
Cell1232	Group2	59966.0663798844
Cell1233	Group2	66491.7796289036
Cell1234	Group2	78062.6645126942
Cell1235	Group2	58529.5160073769
Cell1236	Group2	82440.3182746594
Cell1237	Group2	56596.0447051143
Cell1238	Group2	59279.5916954635
Cell1239	Group2	61823.7470100348
Cell1240	Group2	54150.5758931749
Cell1241	Group2	69091.5426775625
Cell1242	Group2	45745.2179413056
Cell1243	Group2	59806.5991147402
Cell1244	Group2	53738.8503999078
Cell1245	Group2	53668.7004857316
Cell1246	Group2	75379.3826846331
Cell1247	Group2	73898.2138181551
Cell1248	Group2	82421.8050876357
Cell1249	Group2	56797.1053565639
Cell1250	Group2	60263.3954348167
Cell1251	Group2	43900.603163784
Cell1252	Group2	55401.6199894737
Cell1253	Group2	85206.2122963779
Cell1254	Group2	55088.4004311117
Cell1255	Group2	47416.8183491111
Cell1256	Group2	60377.9296038596
Cell1257	Group2	76825.9556362074
Cell1258	Group2	43669.5236798776
Cell1259	Group2	56910.5437232989
Cell1260	Group2	65746.788741257
Cell1261	Group2	88921.2120601558
Cell1262	Group2	52938.1135299568
Cell1263	Group2	81136.1851693924
Cell1264	Group2	54908.3637620975
Cell1265	Group2	48717.6398656766
Cell1266	Group2	47721.2991528626
Cell1267	Group2	57284.2144330822
Cell1268	Group2	59606.3302832346
Cell1269	Group2	56129.6590931767
Cell1270	Group2	73898.2652185135
Cell1271	Group2	62187.4340339038
Cell1272	Group2	58620.1913337613
Cell1273	Group2	53076.4765098225
Cell1274	Group2	46202.8523225581
Cell1275	Group2	40462.6527067419
Cell1276	Group2	62485.0336909432
Cell1277	Group2	60178.3043824717
Cell1278	Group2	78669.0142906406
Cell1279	Group2	63463.4076721271
Cell1280	Group2	70223.8685616658
Cell1281	Group2	60366.963651581
Cell1282	Group2	50834.736541461
Cell1283	Group2	63444.9657905839
Cell1284	Group2	64084.4755366774
Cell1285	Group2	50844.2060931526
Cell1286	Group2	59530.8614533706
Cell1287	Group2	89335.6881372135
Cell1288	Group2	47769.6981403684
Cell1289	Group2	80373.1720420366
Cell1290	Group2	57215.8488452448
Cell1291	Group2	80536.2054346432
Cell1292	Group2	50583.9375472158
Cell1293	Group2	59086.6881083085
Cell1294	Group2	63719.5498610542
Cell1295	Group2	58540.9597180969
Cell1296	Group2	68305.6501619787
Cell1297	Group2	57908.9773044318
Cell1298	Group2	76250.1523905331
Cell1299	Group2	61950.0619326575
Cell1300	Group2	68767.321112363
Cell1301	Group2	47235.0089975603
Cell1302	Group2	52487.070489624
Cell1303	Group2	74451.3811828679
Cell1304	Group2	66287.5375708872
Cell1305	Group2	58268.6023958237
Cell1306	Group2	58585.5555352694
Cell1307	Group2	69632.0363002412
Cell1308	Group2	57253.1382023659
Cell1309	Group2	60778.4785568941
Cell1310	Group2	43079.7806501085
Cell1311	Group2	85374.4259539117
Cell1312	Group2	69786.3410888565
Cell1313	Group2	70718.1522018135
Cell1314	Group2	40900.9469880694
Cell1315	Group2	59625.1452806916
Cell1316	Group2	55172.1302234499
Cell1317	Group2	45466.1212045769
Cell1318	Group2	69250.5298219396
Cell1319	Group2	76636.3017189427
Cell1320	Group2	53602.7214357223
Cell1321	Group2	57191.5800388309
Cell1322	Group2	84313.0889109023
Cell1323	Group2	43046.5952879592
Cell1324	Group2	69483.4696908074
Cell1325	Group2	56229.4396099774
Cell1326	Group2	58509.1149222281
Cell1327	Group2	52987.1723149039
Cell1328	Group2	74558.4809631639
Cell1329	Group2	47789.7508336753
Cell1330	Group2	72585.6046785484
Cell1331	Group2	79323.7456274298
Cell1332	Group2	43116.8908426132
Cell1333	Group2	47792.2686412245
Cell1334	Group2	67393.8533463799
Cell1335	Group2	49451.0305016587
Cell1336	Group2	52140.3303206283
Cell1337	Group2	54771.7290478367
Cell1338	Group2	55887.8986912476
Cell1339	Group2	68922.6153160157
Cell1340	Group2	53071.6861253883
Cell1341	Group2	60953.7148678109
Cell1342	Group2	69390.0613095884
Cell1343	Group2	43999.0847296706
Cell1344	Group2	52160.1223085471
Cell1345	Group2	71108.2535004229
Cell1346	Group2	55530.9638775144
Cell1347	Group2	36061.5797936947
Cell1348	Group2	50434.8737506417
Cell1349	Group2	70488.530060381
Cell1350	Group2	54977.6610045847
Cell1351	Group2	55219.5663318481
Cell1352	Group2	58153.7797100544
Cell1353	Group2	69140.3152886504
Cell1354	Group2	54272.9839822363
Cell1355	Group2	65853.7522736354
Cell1356	Group2	67146.4096968966
Cell1357	Group2	48836.2470945777
Cell1358	Group2	59137.7976500365
Cell1359	Group2	53762.9033593531
Cell1360	Group2	65081.1964345053
Cell1361	Group2	44282.4922349403
Cell1362	Group2	81457.2796358643
Cell1363	Group2	78370.5593813736
Cell1364	Group2	50585.934609997
Cell1365	Group2	52366.6467077892
Cell1366	Group2	49926.2657189757
Cell1367	Group2	58261.2142167138
Cell1368	Group2	54165.1183486004
Cell1369	Group2	61238.2754808749
Cell1370	Group2	41149.065135124
Cell1371	Group2	61803.1333051832
Cell1372	Group2	60060.7923597183
Cell1373	Group2	43472.3032652877
Cell1374	Group2	63271.7751086009
Cell1375	Group2	60535.8195787638
Cell1376	Group2	57175.7610140096
Cell1377	Group2	59716.0878844447
Cell1378	Group2	64665.9352796225
Cell1379	Group2	64173.4429832773
Cell1380	Group2	54922.4488276838
Cell1381	Group2	75360.2787281792
Cell1382	Group2	59438.2692531078
Cell1383	Group2	58269.8284251447
Cell1384	Group2	72324.8900143401
Cell1385	Group2	73014.1306783222
Cell1386	Group2	52045.1062269018
Cell1387	Group2	49108.5417787656
Cell1388	Group2	51993.6247698783
Cell1389	Group2	47327.4063129539
Cell1390	Group2	41930.1580548932
Cell1391	Group2	63711.5729719903
Cell1392	Group2	58161.4432933618
Cell1393	Group2	68084.8466169106
Cell1394	Group2	59854.274433365
Cell1395	Group2	64979.8559520004
Cell1396	Group2	54219.091686262
Cell1397	Group2	49413.473466219
Cell1398	Group2	69956.3283004311
Cell1399	Group2	69718.7188113678
Cell1400	Group2	42330.2637043773
Cell1401	Group2	71357.5854404847
Cell1402	Group2	41995.8344343901
Cell1403	Group2	59329.5357970778
Cell1404	Group2	55327.5109424862
Cell1405	Group2	58360.1601446745
Cell1406	Group2	74551.656980464
Cell1407	Group2	46581.3920379075
Cell1408	Group2	56777.9463639912
Cell1409	Group2	99773.7596140013
Cell1410	Group2	44548.7216966723
Cell1411	Group2	52821.9702492997
Cell1412	Group2	59384.5633629042
Cell1413	Group2	62317.0687493888
Cell1414	Group2	53816.6877830507
Cell1415	Group2	56771.7167676992
Cell1416	Group2	74371.6100629576
Cell1417	Group2	57748.3989433467
Cell1418	Group2	62963.537241545
Cell1419	Group2	64466.9808584811
Cell1420	Group2	64952.1972813261
Cell1421	Group2	66072.0441598044
Cell1422	Group2	60531.9446739919
Cell1423	Group2	51961.8557316985
Cell1424	Group2	59180.409737527
Cell1425	Group2	49380.7344170827
Cell1426	Group2	61003.020560892
Cell1427	Group2	55849.7190087918
Cell1428	Group2	58473.7440241985
Cell1429	Group2	48058.8609566333
Cell1430	Group2	56578.5217344143
Cell1431	Group2	48148.8756241799
Cell1432	Group2	55208.2065820749
Cell1433	Group2	66528.2169655796
Cell1434	Group2	62823.4692211379
Cell1435	Group2	71658.8893209534
Cell1436	Group2	66012.1190014999
Cell1437	Group2	61230.3507611932
Cell1438	Group2	73105.7768599447
Cell1439	Group2	75988.9612304
Cell1440	Group2	45257.4459320357
Cell1441	Group2	71569.8766561329
Cell1442	Group2	69953.9042964748
Cell1443	Group2	72285.79409317
Cell1444	Group2	49923.1178258239
Cell1445	Group2	96934.0538339024
Cell1446	Group2	35637.3657152113
Cell1447	Group2	59956.3818401352
Cell1448	Group2	61305.2850149139
Cell1449	Group2	58108.1108542021
Cell1450	Group2	69534.2459429014
Cell1451	Group2	61378.0133583375
Cell1452	Group2	51245.8055414399
Cell1453	Group2	79380.3917223255
Cell1454	Group2	56456.0443559928
Cell1455	Group2	67652.2389410039
Cell1456	Group2	52401.8923930049
Cell1457	Group2	48437.2015411634
Cell1458	Group2	53041.6249216152
Cell1459	Group2	48466.674441483
Cell1460	Group2	66610.7526391527
Cell1461	Group2	43896.1316149658
Cell1462	Group2	49232.1481578449
Cell1463	Group2	60200.965599796
Cell1464	Group2	42484.1156908509
Cell1465	Group2	54123.4265764649
Cell1466	Group2	56331.8550860344
Cell1467	Group2	78371.5021351967
Cell1468	Group2	56868.2610295569
Cell1469	Group2	53924.6262261422
Cell1470	Group2	52436.4081050914
Cell1471	Group2	65476.3447761974
Cell1472	Group2	56168.4114274849
Cell1473	Group2	53704.0786438746
Cell1474	Group2	56617.0418428757
Cell1475	Group2	74090.7905936164
Cell1476	Group2	81925.5141843868
Cell1477	Group2	52647.6869597311
Cell1478	Group2	60120.3911320861
Cell1479	Group2	56115.2622189678
Cell1480	Group2	86810.1825658948
Cell1481	Group2	67383.3207065743
Cell1482	Group2	41934.9403308236
Cell1483	Group2	54895.0390532009
Cell1484	Group2	37852.4148613545
Cell1485	Group2	58771.1843862893
Cell1486	Group2	68926.2857922872
Cell1487	Group2	50066.2333968443
Cell1488	Group2	46327.8532646059
Cell1489	Group2	76968.9085963622
Cell1490	Group2	49368.8039190771
Cell1491	Group2	71794.042367655
Cell1492	Group2	62493.3057966084
Cell1493	Group2	71410.8162214388
Cell1494	Group2	73167.6746781411
Cell1495	Group2	75205.6846562182
Cell1496	Group2	76665.5068026389
Cell1497	Group2	63518.1075201418
Cell1498	Group2	61966.6864761531
Cell1499	Group2	49460.1287141545
Cell1500	Group2	47000.7188750311
Cell1501	Group2	53088.9135165677
Cell1502	Group2	58269.6569391179
Cell1503	Group2	49145.7397368527
Cell1504	Group2	70713.0206773054
Cell1505	Group2	51071.816953552
Cell1506	Group2	64093.1595806043
Cell1507	Group2	71259.6811057685
Cell1508	Group2	47267.0067297511
Cell1509	Group2	73466.0589201627
Cell1510	Group2	39273.8069075427
Cell1511	Group2	62689.7055628038
Cell1512	Group2	81011.1564653929
Cell1513	Group2	66908.9218245113
Cell1514	Group2	71895.9892811459
Cell1515	Group2	53600.875192512
Cell1516	Group2	63555.9066931073
Cell1517	Group2	74703.0281610467
Cell1518	Group2	45897.6906907006
Cell1519	Group2	73155.2245104747
Cell1520	Group2	45167.7775370928
Cell1521	Group2	54189.573336909
Cell1522	Group2	101169.374902625
Cell1523	Group2	66312.4613961474
Cell1524	Group2	58796.1326906264
Cell1525	Group2	72820.5253335855
Cell1526	Group2	57024.6134556225
Cell1527	Group2	67803.0048211687
Cell1528	Group2	55886.658088455
Cell1529	Group2	37382.3927637312
Cell1530	Group2	65806.7388807679
Cell1531	Group2	54052.1154489599
Cell1532	Group2	53384.704965216
Cell1533	Group2	59919.6298486161
Cell1534	Group2	78316.2335800424
Cell1535	Group2	63518.8697600033
Cell1536	Group2	70852.6316730948
Cell1537	Group2	67901.462995768
Cell1538	Group2	61103.2099564982
Cell1539	Group2	68475.0123803443
Cell1540	Group2	58240.5266211041
Cell1541	Group2	46636.4428256751
Cell1542	Group2	64185.1432176935
Cell1543	Group2	37965.6570476545
Cell1544	Group2	49156.1951672456
Cell1545	Group2	59165.3728277005
Cell1546	Group2	57979.6926737386
Cell1547	Group2	55046.1771183943
Cell1548	Group2	72963.7632656885
Cell1549	Group2	48343.0255754361
Cell1550	Group2	35499.4082601701
Cell1551	Group2	69988.790992603
Cell1552	Group2	60416.7108108455
Cell1553	Group2	58588.9955229986
Cell1554	Group2	55367.892002834
Cell1555	Group2	42727.5888353341
Cell1556	Group2	49486.6942290768
Cell1557	Group2	66269.3530315743
Cell1558	Group2	60099.8857667191
Cell1559	Group2	45081.0800003194
Cell1560	Group2	67483.2289689713
Cell1561	Group2	70071.815045601
Cell1562	Group2	58283.4462280344
Cell1563	Group2	59678.2371742814
Cell1564	Group2	79366.2172811874
Cell1565	Group2	64793.9646419004
Cell1566	Group2	76418.1128018741
Cell1567	Group2	59336.7757644698
Cell1568	Group2	80490.7515289778
Cell1569	Group2	58974.6661072387
Cell1570	Group2	71937.2644752605
Cell1571	Group2	55884.6071539622
Cell1572	Group2	48271.6383181031
Cell1573	Group2	73153.9164844022
Cell1574	Group2	94769.3011392207
Cell1575	Group2	56096.2574357389
Cell1576	Group2	80319.7823957691
Cell1577	Group2	57103.3585906477
Cell1578	Group2	72019.9630087528
Cell1579	Group2	49126.8810071169
Cell1580	Group2	63267.6396628116
Cell1581	Group2	51393.5409598719
Cell1582	Group2	45687.3897410214
Cell1583	Group2	68254.9257118801
Cell1584	Group2	82613.5799418049
Cell1585	Group2	51138.7909613505
Cell1586	Group2	50172.621953539
Cell1587	Group2	48314.9868200502
Cell1588	Group2	54631.8215213448
Cell1589	Group2	68400.0888862
Cell1590	Group2	69040.2980274363
Cell1591	Group2	65420.4935569976
Cell1592	Group2	69697.3420874057
Cell1593	Group2	54514.6344593806
Cell1594	Group2	57841.2810308254
Cell1595	Group2	68624.8490982741
Cell1596	Group2	56595.4874709736
Cell1597	Group2	49398.5072552125
Cell1598	Group2	45454.6302931488
Cell1599	Group2	102694.858084637
Cell1600	Group2	42619.0659177035
Cell1601	Group2	60226.2348103968
Cell1602	Group2	88155.9661413732
Cell1603	Group2	70792.0634359189
Cell1604	Group2	57695.2850229063
Cell1605	Group2	66613.7196159529
Cell1606	Group2	85561.5473842699
Cell1607	Group2	62188.511802903
Cell1608	Group2	53432.9297867216
Cell1609	Group2	80047.7482643599
Cell1610	Group2	87011.7712765089
Cell1611	Group2	49172.4615534359
Cell1612	Group2	69130.503533801
Cell1613	Group2	61443.2620326593
Cell1614	Group2	68894.2680875671
Cell1615	Group2	66525.4304535073
Cell1616	Group2	59629.0040735386
Cell1617	Group2	65358.9856159337
