Cell	Group	ExpLibSize
Cell664	Cell664	Group1	505968.520717039
Cell665	Cell665	Group1	826504.763435055
Cell666	Cell666	Group1	385303.157052765
Cell667	Cell667	Group1	621327.175888053
Cell668	Cell668	Group1	373035.112190141
Cell669	Cell669	Group1	135234.146589059
Cell670	Cell670	Group1	333868.044665765
Cell671	Cell671	Group1	503009.522156481
Cell672	Cell672	Group1	439611.810780904
Cell673	Cell673	Group1	297409.280576649
Cell674	Cell674	Group1	160804.686659279
Cell675	Cell675	Group1	482194.558714996
Cell676	Cell676	Group1	192030.803329698
Cell677	Cell677	Group1	157604.348247714
Cell678	Cell678	Group1	467792.980303788
Cell679	Cell679	Group1	159379.534814817
Cell680	Cell680	Group1	380507.460589839
Cell681	Cell681	Group1	330029.347303628
Cell682	Cell682	Group1	150669.384442881
Cell683	Cell683	Group1	660183.917911394
Cell684	Cell684	Group1	232367.829678098
Cell685	Cell685	Group1	668119.277040455
Cell686	Cell686	Group1	249061.973625958
Cell687	Cell687	Group1	234810.085743122
Cell688	Cell688	Group1	323485.057833507
Cell689	Cell689	Group1	266830.545248521
Cell690	Cell690	Group1	267059.502611758
Cell691	Cell691	Group1	196469.717042467
Cell692	Cell692	Group1	161260.265985867
Cell693	Cell693	Group1	472879.805473892
Cell694	Cell694	Group1	204917.33711961
Cell695	Cell695	Group1	146447.211807863
Cell696	Cell696	Group1	244293.555204437
Cell697	Cell697	Group1	205554.253396067
Cell698	Cell698	Group1	90536.9688013496
Cell699	Cell699	Group1	277592.639487738
Cell700	Cell700	Group1	363591.968419143
Cell701	Cell701	Group1	391957.900503802
Cell702	Cell702	Group1	415264.617969463
Cell703	Cell703	Group1	182717.68059144
Cell704	Cell704	Group1	271961.257934486
Cell705	Cell705	Group1	181911.610711858
Cell706	Cell706	Group1	226605.344984913
Cell707	Cell707	Group1	161550.888793306
Cell708	Cell708	Group1	170686.642666455
Cell709	Cell709	Group1	477525.348064298
Cell710	Cell710	Group1	280620.577905368
Cell711	Cell711	Group1	282891.30731521
Cell712	Cell712	Group1	912736.363672508
Cell713	Cell713	Group1	318349.265926335
Cell714	Cell714	Group1	240124.911045823
Cell715	Cell715	Group1	511722.211571872
Cell716	Cell716	Group1	247274.830721549
Cell717	Cell717	Group1	739771.276943337
Cell718	Cell718	Group1	263764.907186628
Cell719	Cell719	Group1	229193.653423842
Cell720	Cell720	Group1	165570.197504639
Cell721	Cell721	Group1	399875.607453777
Cell722	Cell722	Group1	781709.626512043
Cell723	Cell723	Group1	267152.582994529
Cell724	Cell724	Group1	384360.706924425
Cell725	Cell725	Group1	400981.60514733
Cell726	Cell726	Group1	761565.033059678
Cell727	Cell727	Group1	487185.165994728
Cell728	Cell728	Group1	175045.920535066
Cell729	Cell729	Group1	218546.153651418
Cell730	Cell730	Group1	212299.10492428
Cell731	Cell731	Group1	358149.444459605
Cell732	Cell732	Group1	328725.520334481
Cell733	Cell733	Group1	409240.836553723
Cell734	Cell734	Group1	223699.069683043
Cell735	Cell735	Group1	263970.981826235
Cell736	Cell736	Group1	509938.681785916
Cell737	Cell737	Group1	310712.860089297
Cell738	Cell738	Group1	224101.770515485
Cell739	Cell739	Group1	583865.308328859
Cell740	Cell740	Group1	332120.967683302
Cell741	Cell741	Group1	192021.907369793
Cell742	Cell742	Group1	902114.72870138
Cell743	Cell743	Group1	165572.544417834
Cell744	Cell744	Group1	115390.685159624
Cell745	Cell745	Group1	87374.8452731642
Cell746	Cell746	Group1	483539.377650042
Cell747	Cell747	Group1	240724.196501851
Cell748	Cell748	Group1	280118.831746884
Cell749	Cell749	Group1	390790.016359408
Cell750	Cell750	Group1	250319.578118862
Cell751	Cell751	Group1	127769.190175414
Cell752	Cell752	Group1	104471.353929455
Cell753	Cell753	Group1	269572.941580101
Cell754	Cell754	Group1	365213.04775404
Cell755	Cell755	Group1	86115.4439526301
Cell756	Cell756	Group1	390996.6935539
Cell757	Cell757	Group1	422560.663241494
Cell758	Cell758	Group1	706476.642987639
Cell759	Cell759	Group1	363065.407491589
Cell760	Cell760	Group1	371774.933255477
Cell761	Cell761	Group1	470467.092387502
Cell762	Cell762	Group1	325796.338899812
Cell763	Cell763	Group1	314375.460994306
Cell764	Cell764	Group1	352791.057209178
Cell765	Cell765	Group1	510784.525833677
Cell766	Cell766	Group1	255563.574786749
Cell767	Cell767	Group1	245493.719772684
Cell768	Cell768	Group1	197922.102477333
Cell769	Cell769	Group1	187414.89411733
Cell770	Cell770	Group1	399442.301636402
Cell771	Cell771	Group1	819848.576705281
Cell772	Cell772	Group1	186193.114639199
Cell773	Cell773	Group1	294870.558398389
Cell774	Cell774	Group1	179605.954895825
Cell775	Cell775	Group1	562567.164354334
Cell776	Cell776	Group1	273301.583951837
Cell777	Cell777	Group1	366134.716532462
Cell778	Cell778	Group1	404468.987851123
Cell779	Cell779	Group1	177055.457271293
Cell780	Cell780	Group1	309773.888411258
Cell781	Cell781	Group1	288019.943967633
Cell782	Cell782	Group1	490490.852911896
Cell783	Cell783	Group1	159338.788259864
Cell784	Cell784	Group1	162493.839158647
Cell785	Cell785	Group1	517354.07288193
Cell786	Cell786	Group1	233013.084131063
Cell787	Cell787	Group1	223310.263403649
Cell788	Cell788	Group1	352174.139025345
Cell789	Cell789	Group1	272816.275318487
Cell790	Cell790	Group1	989352.762528391
Cell791	Cell791	Group1	383922.545417637
Cell792	Cell792	Group1	362391.451172641
Cell793	Cell793	Group1	570237.675057812
Cell794	Cell794	Group1	318057.848881138
Cell795	Cell795	Group1	339088.612527372
Cell796	Cell796	Group1	175126.348242833
Cell797	Cell797	Group1	85348.0770949815
Cell798	Cell798	Group1	161801.748649632
Cell799	Cell799	Group1	352401.579313994
Cell800	Cell800	Group1	179257.560368201
Cell801	Cell801	Group1	494393.341909168
Cell802	Cell802	Group1	505072.271655286
Cell803	Cell803	Group1	374506.493488397
Cell804	Cell804	Group1	292583.655651396
Cell805	Cell805	Group1	147379.075740988
Cell806	Cell806	Group1	274664.534207028
Cell807	Cell807	Group1	252330.367015465
Cell808	Cell808	Group1	486999.378110079
Cell809	Cell809	Group1	712282.176714605
Cell810	Cell810	Group1	442621.902806818
Cell811	Cell811	Group1	169501.761077445
Cell812	Cell812	Group1	881785.060956392
Cell813	Cell813	Group1	597501.454799368
Cell814	Cell814	Group1	375863.807748221
Cell815	Cell815	Group1	89809.2619738342
Cell816	Cell816	Group1	187765.398105847
Cell817	Cell817	Group1	316445.628764824
Cell818	Cell818	Group1	515965.94488528
Cell819	Cell819	Group1	164425.249095595
Cell820	Cell820	Group1	2184834.32051589
Cell821	Cell821	Group1	73190.5835052865
Cell822	Cell822	Group1	286734.759077183
Cell823	Cell823	Group1	282771.096282945
Cell824	Cell824	Group1	222906.614528863
Cell825	Cell825	Group1	273042.675241986
Cell826	Cell826	Group1	510249.729695053
Cell827	Cell827	Group1	196860.353452735
Cell828	Cell828	Group1	96596.6180429301
Cell829	Cell829	Group1	348203.819016659
Cell830	Cell830	Group1	329137.76242311
Cell831	Cell831	Group1	326957.681175594
Cell832	Cell832	Group1	488360.856846424
Cell833	Cell833	Group1	326944.766565231
Cell834	Cell834	Group1	520466.17457416
Cell835	Cell835	Group1	100786.63911462
Cell836	Cell836	Group1	169512.549782386
Cell837	Cell837	Group1	404652.832186813
Cell838	Cell838	Group1	267642.65739662
Cell839	Cell839	Group1	574858.463550991
Cell840	Cell840	Group1	182300.926359725
Cell841	Cell841	Group1	504721.208460878
Cell842	Cell842	Group1	222190.016833499
Cell843	Cell843	Group1	171031.244246785
Cell844	Cell844	Group1	269238.815138144
Cell845	Cell845	Group1	339296.351471171
Cell846	Cell846	Group1	159861.806989706
Cell847	Cell847	Group1	210075.199283528
Cell848	Cell848	Group1	158129.000177429
Cell849	Cell849	Group1	599765.866466547
Cell850	Cell850	Group1	504634.956177387
Cell851	Cell851	Group1	179338.886438529
Cell852	Cell852	Group1	457549.975587747
Cell853	Cell853	Group1	283435.078425016
Cell854	Cell854	Group1	170995.825762268
Cell855	Cell855	Group1	422284.705620533
Cell856	Cell856	Group1	272406.507961683
Cell857	Cell857	Group1	553394.169032026
Cell858	Cell858	Group1	293756.889935486
Cell859	Cell859	Group1	663442.753363723
Cell860	Cell860	Group1	244017.880453419
Cell861	Cell861	Group1	374985.07034274
Cell862	Cell862	Group1	409809.455326619
Cell863	Cell863	Group1	388375.93752182
Cell864	Cell864	Group1	371115.972305635
Cell865	Cell865	Group1	326977.734799133
Cell866	Cell866	Group1	312317.110583541
Cell867	Cell867	Group1	736346.63849018
Cell868	Cell868	Group1	562581.788834857
Cell869	Cell869	Group1	230041.041684314
Cell870	Cell870	Group1	750096.948168023
Cell871	Cell871	Group1	358830.637130768
Cell872	Cell872	Group1	225915.520304217
Cell873	Cell873	Group1	364155.339505965
Cell874	Cell874	Group1	300349.8219373
Cell875	Cell875	Group1	349678.060719288
Cell876	Cell876	Group1	185696.388472626
Cell877	Cell877	Group1	203279.495634269
Cell878	Cell878	Group1	735430.875039667
Cell879	Cell879	Group1	580506.450017406
Cell880	Cell880	Group1	195769.559834952
Cell881	Cell881	Group1	193890.957180892
Cell882	Cell882	Group1	909395.277273452
Cell883	Cell883	Group1	1014532.04324255
Cell884	Cell884	Group1	208455.886084054
Cell885	Cell885	Group1	152986.313514535
Cell886	Cell886	Group1	1545454.89287262
Cell887	Cell887	Group1	377218.639753577
Cell888	Cell888	Group1	367809.278763186
Cell889	Cell889	Group1	344605.833828154
Cell890	Cell890	Group1	753828.213541476
Cell891	Cell891	Group1	294301.022938028
Cell892	Cell892	Group1	778438.350362006
Cell893	Cell893	Group1	289327.22318336
Cell894	Cell894	Group1	443693.738313914
Cell895	Cell895	Group1	179236.448868622
Cell896	Cell896	Group1	364299.361226439
Cell897	Cell897	Group1	668390.851729849
Cell898	Cell898	Group1	299251.553503513
Cell899	Cell899	Group1	701391.892784392
Cell900	Cell900	Group1	1642812.37909714
Cell901	Cell901	Group1	573893.979612723
Cell902	Cell902	Group1	284600.842998142
Cell903	Cell903	Group1	348760.362089282
Cell904	Cell904	Group1	255166.368124778
Cell905	Cell905	Group1	1189182.91585499
Cell906	Cell906	Group1	57656.5695800522
Cell907	Cell907	Group1	345571.810566948
Cell908	Cell908	Group1	351578.021799038
Cell909	Cell909	Group1	373640.024481632
Cell910	Cell910	Group1	131607.31617987
Cell911	Cell911	Group1	374248.745325627
Cell912	Cell912	Group1	368007.361167624
Cell913	Cell913	Group1	691604.543127279
Cell914	Cell914	Group1	448521.939508559
Cell915	Cell915	Group1	635665.720176617
Cell916	Cell916	Group1	187443.05476903
Cell917	Cell917	Group1	306206.585893988
Cell918	Cell918	Group1	368891.653533862
Cell919	Cell919	Group1	386802.468698651
Cell920	Cell920	Group1	218943.999054128
Cell921	Cell921	Group1	787562.107535026
Cell922	Cell922	Group1	229786.562091407
Cell923	Cell923	Group1	127299.632689668
Cell924	Cell924	Group1	417656.400022185
Cell925	Cell925	Group1	487380.03750881
Cell926	Cell926	Group1	574639.217526857
Cell927	Cell927	Group1	188688.504227722
Cell928	Cell928	Group1	284655.436641109
Cell929	Cell929	Group1	150649.256408492
Cell930	Cell930	Group1	541967.776039439
Cell931	Cell931	Group1	404390.017588685
Cell932	Cell932	Group1	564451.463886581
Cell933	Cell933	Group1	471485.614445207
Cell934	Cell934	Group1	230358.400416926
Cell935	Cell935	Group1	366275.829657929
Cell936	Cell936	Group1	107049.027906988
Cell937	Cell937	Group1	443119.162820629
Cell938	Cell938	Group1	583086.681747602
Cell939	Cell939	Group1	196692.908599959
Cell940	Cell940	Group1	93615.5756038457
Cell941	Cell941	Group1	134348.44200979
Cell942	Cell942	Group1	171023.384025601
Cell943	Cell943	Group1	684455.395920005
Cell944	Cell944	Group1	330167.368054138
Cell945	Cell945	Group1	158912.271074528
Cell946	Cell946	Group1	457106.278059447
Cell947	Cell947	Group1	91052.3955973886
Cell948	Cell948	Group1	284867.478380849
Cell949	Cell949	Group1	634693.817388282
Cell950	Cell950	Group1	269418.4151778
Cell951	Cell951	Group1	710944.371144398
Cell952	Cell952	Group1	948792.62371939
Cell953	Cell953	Group1	165598.469000572
Cell954	Cell954	Group1	167122.191794425
Cell955	Cell955	Group1	192257.254205453
Cell956	Cell956	Group1	449900.75092531
Cell957	Cell957	Group1	538884.429991798
Cell958	Cell958	Group1	671733.823110149
Cell959	Cell959	Group1	708450.138657015
Cell960	Cell960	Group1	620963.46548356
Cell961	Cell961	Group1	573176.605782675
Cell962	Cell962	Group1	362779.058683657
Cell963	Cell963	Group1	195261.146378409
Cell964	Cell964	Group1	214811.382712109
Cell965	Cell965	Group1	418914.81918967
Cell966	Cell966	Group1	888322.80077824
Cell967	Cell967	Group1	900145.893607436
Cell968	Cell968	Group1	105935.027342843
Cell969	Cell969	Group1	201589.32159213
Cell970	Cell970	Group1	760193.091919713
Cell971	Cell971	Group1	176033.03026426
Cell972	Cell972	Group1	127354.577338108
Cell973	Cell973	Group1	469140.682705905
Cell974	Cell974	Group1	914569.896298132
Cell975	Cell975	Group1	1029864.86960762
Cell976	Cell976	Group1	450986.749909444
Cell977	Cell977	Group1	503462.974192597
Cell978	Cell978	Group1	458291.123392709
Cell979	Cell979	Group1	325998.664327561
Cell980	Cell980	Group1	45205.8264113756
Cell981	Cell981	Group1	515782.793668033
Cell982	Cell982	Group1	261667.111147024
Cell983	Cell983	Group1	597342.442213095
Cell984	Cell984	Group1	227737.310758386
Cell985	Cell985	Group1	125788.749852038
Cell986	Cell986	Group1	686174.763236604
Cell987	Cell987	Group1	366647.018408666
Cell988	Cell988	Group1	2582890.31050748
Cell989	Cell989	Group1	565060.086039565
Cell990	Cell990	Group1	611083.302133446
Cell991	Cell991	Group1	516732.199997079
Cell992	Cell992	Group1	230923.713852896
Cell993	Cell993	Group1	264892.727793268
Cell994	Cell994	Group1	615171.851516971
Cell995	Cell995	Group1	613465.342831921
Cell996	Cell996	Group1	464509.829550864
Cell997	Cell997	Group1	184260.868820088
Cell998	Cell998	Group1	888891.030955307
Cell999	Cell999	Group1	147279.161008774
Cell1000	Cell1000	Group1	255274.109688942
Cell1001	Cell1001	Group2	1296290.22155468
Cell1002	Cell1002	Group2	448681.667649952
Cell1003	Cell1003	Group2	583717.094769194
Cell1004	Cell1004	Group2	411425.086852774
Cell1005	Cell1005	Group2	183246.995528532
Cell1006	Cell1006	Group2	231728.351474721
Cell1007	Cell1007	Group2	363180.368541579
Cell1008	Cell1008	Group2	58695.0644703527
Cell1009	Cell1009	Group2	199943.414397224
Cell1010	Cell1010	Group2	527422.501070664
Cell1011	Cell1011	Group2	276365.78506869
Cell1012	Cell1012	Group2	278793.229251748
Cell1013	Cell1013	Group2	549929.603531147
Cell1014	Cell1014	Group2	239095.669092202
Cell1015	Cell1015	Group2	477222.207696636
Cell1016	Cell1016	Group2	142542.209259345
Cell1017	Cell1017	Group2	159877.754446935
Cell1018	Cell1018	Group2	122893.425103777
Cell1019	Cell1019	Group2	346287.163584753
Cell1020	Cell1020	Group2	291814.38691184
Cell1021	Cell1021	Group2	770445.020207144
Cell1022	Cell1022	Group2	321479.648761652
Cell1023	Cell1023	Group2	731471.066461589
Cell1024	Cell1024	Group2	1036389.73989897
Cell1025	Cell1025	Group2	246739.280984345
Cell1026	Cell1026	Group2	414213.479025091
Cell1027	Cell1027	Group2	200299.566448097
Cell1028	Cell1028	Group2	508927.398005728
Cell1029	Cell1029	Group2	174417.478552758
Cell1030	Cell1030	Group2	179979.556220828
Cell1031	Cell1031	Group2	390598.151214123
Cell1032	Cell1032	Group2	347597.86269765
Cell1033	Cell1033	Group2	384622.444244631
Cell1034	Cell1034	Group2	343227.775812137
Cell1035	Cell1035	Group2	241318.956600266
Cell1036	Cell1036	Group2	305162.72843096
Cell1037	Cell1037	Group2	855767.620340496
Cell1038	Cell1038	Group2	326035.502971441
Cell1039	Cell1039	Group2	151534.639107247
Cell1040	Cell1040	Group2	200338.875379007
Cell1041	Cell1041	Group2	172166.011523894
Cell1042	Cell1042	Group2	193891.182477651
Cell1043	Cell1043	Group2	156746.889420288
Cell1044	Cell1044	Group2	70150.0655786334
Cell1045	Cell1045	Group2	488676.75762657
Cell1046	Cell1046	Group2	486085.717038895
Cell1047	Cell1047	Group2	284267.996347149
Cell1048	Cell1048	Group2	215110.706728243
Cell1049	Cell1049	Group2	204196.915058153
Cell1050	Cell1050	Group2	416733.33117757
Cell1051	Cell1051	Group2	376538.065381286
Cell1052	Cell1052	Group2	422395.707292625
Cell1053	Cell1053	Group2	330431.223392848
Cell1054	Cell1054	Group2	474469.612463012
Cell1055	Cell1055	Group2	424763.876898843
Cell1056	Cell1056	Group2	457810.530719771
Cell1057	Cell1057	Group2	441299.511926852
Cell1058	Cell1058	Group2	877064.578097111
Cell1059	Cell1059	Group2	176976.662899556
Cell1060	Cell1060	Group2	801204.641234297
Cell1061	Cell1061	Group2	270605.77873981
Cell1062	Cell1062	Group2	317116.022501903
Cell1063	Cell1063	Group2	345611.164631785
Cell1064	Cell1064	Group2	253028.215604805
Cell1065	Cell1065	Group2	73191.3553375778
Cell1066	Cell1066	Group2	274018.885589204
Cell1067	Cell1067	Group2	337622.246658954
Cell1068	Cell1068	Group2	118372.554325297
Cell1069	Cell1069	Group2	455557.96731171
Cell1070	Cell1070	Group2	231756.914609952
Cell1071	Cell1071	Group2	773113.961143381
Cell1072	Cell1072	Group2	385131.449068147
Cell1073	Cell1073	Group2	207031.14911144
Cell1074	Cell1074	Group2	363711.530404252
Cell1075	Cell1075	Group2	383482.13596467
Cell1076	Cell1076	Group2	563881.401249759
Cell1077	Cell1077	Group2	300405.581402069
Cell1078	Cell1078	Group2	99451.3067443857
Cell1079	Cell1079	Group2	153224.379739214
Cell1080	Cell1080	Group2	198846.708693552
Cell1081	Cell1081	Group2	423547.328871883
Cell1082	Cell1082	Group2	278592.126942225
Cell1083	Cell1083	Group2	229434.665632889
Cell1084	Cell1084	Group2	200299.852833575
Cell1085	Cell1085	Group2	360716.226721255
Cell1086	Cell1086	Group2	199529.457762601
Cell1087	Cell1087	Group2	260637.225756057
Cell1088	Cell1088	Group2	189388.268652704
Cell1089	Cell1089	Group2	145432.989097305
Cell1090	Cell1090	Group2	578394.684900101
Cell1091	Cell1091	Group2	151623.393569248
Cell1092	Cell1092	Group2	343975.558170974
Cell1093	Cell1093	Group2	235762.503386947
Cell1094	Cell1094	Group2	176620.867822786
Cell1095	Cell1095	Group2	383873.261712768
Cell1096	Cell1096	Group2	410495.689263932
Cell1097	Cell1097	Group2	694071.70616304
Cell1098	Cell1098	Group2	399071.858005959
Cell1099	Cell1099	Group2	303680.478594834
Cell1100	Cell1100	Group2	1526429.7738294
Cell1101	Cell1101	Group2	224631.196075849
Cell1102	Cell1102	Group2	182466.027065832
Cell1103	Cell1103	Group2	240400.89797659
Cell1104	Cell1104	Group2	308740.841964375
Cell1105	Cell1105	Group2	469311.812369585
Cell1106	Cell1106	Group2	420955.281433788
Cell1107	Cell1107	Group2	309590.291816319
Cell1108	Cell1108	Group2	198927.333275815
Cell1109	Cell1109	Group2	640127.486940071
Cell1110	Cell1110	Group2	565289.724169705
Cell1111	Cell1111	Group2	215036.931245638
Cell1112	Cell1112	Group2	493802.842849987
Cell1113	Cell1113	Group2	429532.813623583
Cell1114	Cell1114	Group2	609901.894656346
Cell1115	Cell1115	Group2	359853.247019704
Cell1116	Cell1116	Group2	168230.542470168
Cell1117	Cell1117	Group2	528640.298182545
Cell1118	Cell1118	Group2	214488.228148265
Cell1119	Cell1119	Group2	449498.401278512
Cell1120	Cell1120	Group2	883075.04542855
Cell1121	Cell1121	Group2	142836.959412987
Cell1122	Cell1122	Group2	826900.57912213
Cell1123	Cell1123	Group2	731215.375745688
Cell1124	Cell1124	Group2	241311.428061654
Cell1125	Cell1125	Group2	284155.425283973
Cell1126	Cell1126	Group2	219973.984438154
Cell1127	Cell1127	Group2	235459.667646259
Cell1128	Cell1128	Group2	463596.534226661
Cell1129	Cell1129	Group2	194020.427570473
Cell1130	Cell1130	Group2	294542.520811578
Cell1131	Cell1131	Group2	302709.518171516
Cell1132	Cell1132	Group2	311268.730870827
Cell1133	Cell1133	Group2	366661.980516534
Cell1134	Cell1134	Group2	843959.91661621
Cell1135	Cell1135	Group2	252564.026299289
Cell1136	Cell1136	Group2	206288.818072463
Cell1137	Cell1137	Group2	525468.609232334
Cell1138	Cell1138	Group2	412274.005532506
Cell1139	Cell1139	Group2	378589.812316603
Cell1140	Cell1140	Group2	466708.599605906
Cell1141	Cell1141	Group2	143418.568025978
Cell1142	Cell1142	Group2	616430.624463336
Cell1143	Cell1143	Group2	430503.586960655
Cell1144	Cell1144	Group2	577076.984356128
Cell1145	Cell1145	Group2	231587.130511354
Cell1146	Cell1146	Group2	111323.975729452
Cell1147	Cell1147	Group2	247663.8329733
Cell1148	Cell1148	Group2	193120.948549666
Cell1149	Cell1149	Group2	1220478.46738803
Cell1150	Cell1150	Group2	258261.206715318
Cell1151	Cell1151	Group2	290177.561512608
Cell1152	Cell1152	Group2	616315.419426862
Cell1153	Cell1153	Group2	474850.634914841
Cell1154	Cell1154	Group2	489829.91181211
Cell1155	Cell1155	Group2	1554782.54077301
Cell1156	Cell1156	Group2	363365.051607323
Cell1157	Cell1157	Group2	1012223.70717549
Cell1158	Cell1158	Group2	382610.042154627
Cell1159	Cell1159	Group2	139494.505345099
Cell1160	Cell1160	Group2	88717.4015239809
Cell1161	Cell1161	Group2	483128.66849247
Cell1162	Cell1162	Group2	182889.324044577
Cell1163	Cell1163	Group2	337739.463034456
Cell1164	Cell1164	Group2	938629.879451726
Cell1165	Cell1165	Group2	404267.572846912
Cell1166	Cell1166	Group2	278221.265967982
Cell1167	Cell1167	Group2	106034.304477026
Cell1168	Cell1168	Group2	205588.934877356
Cell1169	Cell1169	Group2	234732.513463903
Cell1170	Cell1170	Group2	493054.811294251
Cell1171	Cell1171	Group2	438060.762712768
Cell1172	Cell1172	Group2	332212.370389387
Cell1173	Cell1173	Group2	366402.223910847
Cell1174	Cell1174	Group2	278053.185011269
Cell1175	Cell1175	Group2	335410.648205369
Cell1176	Cell1176	Group2	386678.723316119
Cell1177	Cell1177	Group2	429298.215864464
Cell1178	Cell1178	Group2	967021.483330264
Cell1179	Cell1179	Group2	171133.691740792
Cell1180	Cell1180	Group2	785539.759769725
Cell1181	Cell1181	Group2	489381.634362366
Cell1182	Cell1182	Group2	132579.334198087
Cell1183	Cell1183	Group2	279873.409985251
Cell1184	Cell1184	Group2	227419.589125716
Cell1185	Cell1185	Group2	190168.271820587
Cell1186	Cell1186	Group2	133161.8626342
Cell1187	Cell1187	Group2	246279.828470021
Cell1188	Cell1188	Group2	254951.638908436
Cell1189	Cell1189	Group2	272311.142731877
Cell1190	Cell1190	Group2	97839.4125286454
Cell1191	Cell1191	Group2	427366.378481517
Cell1192	Cell1192	Group2	511440.288383146
Cell1193	Cell1193	Group2	524651.554118065
Cell1194	Cell1194	Group2	518841.674474444
Cell1195	Cell1195	Group2	370802.12939875
Cell1196	Cell1196	Group2	782557.153945813
Cell1197	Cell1197	Group2	196609.687463414
Cell1198	Cell1198	Group2	159963.292025957
Cell1199	Cell1199	Group2	402048.161156891
Cell1200	Cell1200	Group2	427195.59784463
Cell1201	Cell1201	Group2	212250.83506412
Cell1202	Cell1202	Group2	336673.448098135
Cell1203	Cell1203	Group2	398621.813974138
Cell1204	Cell1204	Group2	412080.657923046
Cell1205	Cell1205	Group2	552214.163978111
Cell1206	Cell1206	Group2	571015.242302846
Cell1207	Cell1207	Group2	78784.4489524726
Cell1208	Cell1208	Group2	911895.701956907
Cell1209	Cell1209	Group2	431032.637173081
Cell1210	Cell1210	Group2	235460.681144854
Cell1211	Cell1211	Group2	170871.700076343
Cell1212	Cell1212	Group2	561566.465453117
Cell1213	Cell1213	Group2	399747.396891125
Cell1214	Cell1214	Group2	621826.531248649
Cell1215	Cell1215	Group2	317988.753203319
Cell1216	Cell1216	Group2	285456.405227892
Cell1217	Cell1217	Group2	1233969.01092986
Cell1218	Cell1218	Group2	99298.085567748
Cell1219	Cell1219	Group2	414817.956859595
Cell1220	Cell1220	Group2	413329.683096514
Cell1221	Cell1221	Group2	426660.267996249
Cell1222	Cell1222	Group2	457764.288030797
Cell1223	Cell1223	Group2	279979.089893674
Cell1224	Cell1224	Group2	654989.685115403
Cell1225	Cell1225	Group2	77611.1566026989
Cell1226	Cell1226	Group2	204994.259256768
Cell1227	Cell1227	Group2	307157.09049409
Cell1228	Cell1228	Group2	362745.194907696
Cell1229	Cell1229	Group2	418639.126486313
Cell1230	Cell1230	Group2	480193.683089816
Cell1231	Cell1231	Group2	135485.802758154
Cell1232	Cell1232	Group2	330983.08965329
Cell1233	Cell1233	Group2	448693.784581168
Cell1234	Cell1234	Group2	719750.851886492
Cell1235	Cell1235	Group2	308167.869642329
Cell1236	Cell1236	Group2	845241.272397936
Cell1237	Cell1237	Group2	279135.596158214
Cell1238	Cell1238	Group2	319946.248952512
Cell1239	Cell1239	Group2	362104.222073353
Cell1240	Cell1240	Group2	245081.658640152
Cell1241	Cell1241	Group2	502358.569206611
Cell1242	Cell1242	Group2	149117.232746868
Cell1243	Cell1243	Group2	328397.178433319
Cell1244	Cell1244	Group2	239633.309563755
Cell1245	Cell1245	Group2	238713.071588908
Cell1246	Cell1246	Group2	649287.44386307
Cell1247	Cell1247	Group2	612421.485088976
Cell1248	Cell1248	Group2	844682.296412169
Cell1249	Cell1249	Group2	282066.637638588
Cell1250	Cell1250	Group2	335840.405529537
Cell1251	Cell1251	Group2	132091.71289331
Cell1252	Cell1252	Group2	262137.29473123
Cell1253	Cell1253	Group2	931526.215988103
Cell1254	Cell1254	Group2	257795.890465599
Cell1255	Cell1255	Group2	165744.529075464
Cell1256	Cell1256	Group2	337723.980399401
Cell1257	Cell1257	Group2	686678.814491195
Cell1258	Cell1258	Group2	130054.171136879
Cell1259	Cell1259	Group2	283729.264444895
Cell1260	Cell1260	Group2	434046.527092652
Cell1261	Cell1261	Group2	1056302.15552365
Cell1262	Cell1262	Group2	229267.496903395
Cell1263	Cell1263	Group2	806459.509342943
Cell1264	Cell1264	Group2	255322.110117605
Cell1265	Cell1265	Group2	179498.428821466
Cell1266	Cell1266	Group2	168899.11502536
Cell1267	Cell1267	Group2	289251.781265066
Cell1268	Cell1268	Group2	325168.580392635
Cell1269	Cell1269	Group2	272414.288619763
Cell1270	Cell1270	Group2	612422.739814465
Cell1271	Cell1271	Group2	368414.588971062
Cell1272	Cell1272	Group2	309576.255579173
Cell1273	Cell1273	Group2	231037.049362508
Cell1274	Cell1274	Group2	153554.194928138
Cell1275	Cell1275	Group2	103885.687132757
Cell1276	Cell1276	Group2	373631.969294156
Cell1277	Cell1277	Group2	334445.539880153
Cell1278	Cell1278	Group2	736343.091210505
Cell1279	Cell1279	Group2	391127.854252931
Cell1280	Cell1280	Group2	526997.990887559
Cell1281	Cell1281	Group2	337543.338245026
Cell1282	Cell1282	Group2	203459.352656178
Cell1283	Cell1283	Group2	390793.16357526
Cell1284	Cell1284	Group2	402510.092806489
Cell1285	Cell1285	Group2	203571.010952777
Cell1286	Cell1286	Group2	323957.383927814
Cell1287	Cell1287	Group2	1070870.68417019
Cell1288	Cell1288	Group2	169404.178066404
Cell1289	Cell1289	Group2	784324.156676174
Cell1290	Cell1290	Group2	288236.140469392
Cell1291	Cell1291	Group2	789019.674727542
Cell1292	Cell1292	Group2	200516.811069192
Cell1293	Cell1293	Group2	316889.200047721
Cell1294	Cell1294	Group2	395796.01940939
Cell1295	Cell1295	Group2	308345.381633306
Cell1296	Cell1296	Group2	485712.830647244
Cell1297	Cell1297	Group2	298642.981654015
Cell1298	Cell1298	Group2	671629.554245295
