Cell	ExpLibSize
Cell1078	39867.823872465
Cell1079	46169.1375470651
Cell1080	50440.5083336199
Cell1081	65202.4979245593
Cell1082	56558.611288769
Cell1083	52951.2147174574
Cell1084	50565.3497710575
Cell1085	61743.1916322444
Cell1086	50499.2389495707
Cell1087	55293.7845132486
Cell1088	49612.8203813186
Cell1089	45358.3359224698
Cell1090	72477.8964475315
Cell1091	46004.7948539061
Cell1092	60755.0708943954
Cell1093	53442.5663613511
Cell1094	48451.0779723752
Cell1095	63061.3100588978
Cell1096	64513.3140526884
Cell1097	77105.7668566083
Cell1098	63898.1059584598
Cell1099	58238.7684250074
Cell1100	100759.702656612
Cell1101	52572.2195779582
Cell1102	48989.6021883488
Cell1103	53797.2278260312
Cell1104	58566.4383237352
Cell1105	67513.7144906915
Cell1106	65066.7543523041
Cell1107	58621.0936483532
Cell1108	50447.4506528213
Cell1109	75016.6574254739
Cell1110	71916.1635402986
Cell1111	51798.8942479534
Cell1112	68689.7877693171
Cell1113	65513.8702225813
Cell1114	73794.857103879
Cell1115	61693.0034312537
Cell1116	47657.0841887792
Cell1117	70298.0880547678
Cell1118	51753.9840069599
Cell1119	66532.2357389466
Cell1120	83675.0191082708
Cell1121	45081.8225217089
Cell1122	81828.6053596563
Cell1123	78482.598323094
Cell1124	53866.3169794429
Cell1125	56939.5492688502
Cell1126	52199.6183604493
Cell1127	53419.2512109766
Cell1128	67233.4571123697
Cell1129	50021.5003482897
Cell1130	57637.8081252779
Cell1131	58175.484969777
Cell1132	58728.7972939136
Cell1133	62086.8408657647
Cell1134	82397.8680050131
Cell1135	54706.2724591392
Cell1136	51073.6483360919
Cell1137	70154.6149274431
Cell1138	64608.06065658
Cell1139	62765.2965242885
Cell1140	67386.3431649541
Cell1141	45144.0586843149
Cell1142	74062.0962232109
Cell1143	65564.1004421756
Cell1144	72421.7969134393
Cell1145	53119.3452027933
Cell1146	41423.8462318894
Cell1147	54343.5979917075
Cell1148	49942.6505440239
Cell1149	93391.2082294641
Cell1150	55122.1375419774
Cell1151	57346.3932630426
Cell1152	74057.3968031752
Cell1153	67783.1762557256
Cell1154	68501.6649898302
Cell1155	101391.233583442
Cell1156	61896.7454492932
Cell1157	87643.7084596674
Cell1158	62990.7821924185
Cell1159	44720.8719912668
Cell1160	38351.5549302981
Cell1161	68182.0566494686
Cell1162	49028.1561340934
Cell1163	60378.8693029733
Cell1164	85426.2525980526
Cell1165	64179.3338666316
Cell1166	56533.0391967175
Cell1167	40744.8475253183
Cell1168	51014.7547216232
Cell1169	53363.1870353217
Cell1170	68654.4442247981
Cell1171	65952.5926363367
Cell1172	60041.584836401
Cell1173	62071.9048034271
Cell1174	56521.4420436673
Cell1175	60237.2038508574
Cell1176	63217.3976614539
Cell1177	65501.7203053778
Cell1178	86294.8786452023
Cell1179	47934.7148984303
Cell1180	80415.4407869432
Cell1181	68480.3753545123
Cell1182	43955.5551099622
Cell1183	56646.7873532185
Cell1184	52792.8688865178
Cell1185	49682.0961958747
Cell1186	44021.0277942113
Cell1187	54240.3074042125
Cell1188	54881.302567353
Cell1189	56122.4429863784
Cell1190	39647.2661931971
Cell1191	65401.5024889864
Cell1192	69513.0823654753
Cell1193	70117.5623717427
Cell1194	69852.9852238765
Cell1195	62323.9626198727
Cell1196	80311.6528894099
Cell1197	50247.1397152573
Cell1198	46848.7244600188
Cell1199	64059.4978248512
Cell1200	65392.6285278262
Cell1201	51570.0682069212
Cell1202	60314.1022834622
Cell1203	63873.6329193775
Cell1204	64597.7724178492
Cell1205	71347.051611649
Cell1206	72162.6297587364
Cell1207	36836.2795355502
Cell1208	84592.3236672911
Cell1209	65591.4433217089
Cell1210	53419.3292726759
Cell1211	47909.7887023815
Cell1212	71755.0025478584
Cell1213	63934.8070349705
Cell1214	74281.5581539505
Cell1215	59156.2122505021
Cell1216	57027.9197806806
Cell1217	93740.3975204012
Cell1218	39846.9604221058
Cell1219	64743.1312605441
Cell1220	64664.1782896442
Cell1221	65364.7969708941
Cell1222	66945.1014001844
Cell1223	56654.0481807581
Cell1224	75603.4817345116
Cell1225	36649.1147555129
Cell1226	50964.6099412002
Cell1227	58464.27072977
Cell1228	61860.8784546541
Cell1229	64944.9912136694
Cell1230	68041.1534659782
Cell1231	44280.3580363744
Cell1232	59966.0663798844
Cell1233	66491.7796289036
Cell1234	78062.6645126942
Cell1235	58529.5160073769
Cell1236	82440.3182746594
Cell1237	56596.0447051143
Cell1238	59279.5916954635
Cell1239	61823.7470100348
Cell1240	54150.5758931749
Cell1241	69091.5426775625
Cell1242	45745.2179413056
Cell1243	59806.5991147402
Cell1244	53738.8503999078
Cell1245	53668.7004857316
Cell1246	75379.3826846331
Cell1247	73898.2138181551
Cell1248	82421.8050876357
Cell1249	56797.1053565639
Cell1250	60263.3954348167
Cell1251	43900.603163784
Cell1252	55401.6199894737
Cell1253	85206.2122963779
Cell1254	55088.4004311117
Cell1255	47416.8183491111
Cell1256	60377.9296038596
Cell1257	76825.9556362074
Cell1258	43669.5236798776
Cell1259	56910.5437232989
Cell1260	65746.788741257
Cell1261	88921.2120601558
Cell1262	52938.1135299568
Cell1263	81136.1851693924
Cell1264	54908.3637620975
Cell1265	48717.6398656766
Cell1266	47721.2991528626
Cell1267	57284.2144330822
Cell1268	59606.3302832346
Cell1269	56129.6590931767
Cell1270	73898.2652185135
Cell1271	62187.4340339038
Cell1272	58620.1913337613
Cell1273	53076.4765098225
Cell1274	46202.8523225581
Cell1275	40462.6527067419
Cell1276	62485.0336909432
Cell1277	60178.3043824717
Cell1278	78669.0142906406
Cell1279	63463.4076721271
Cell1280	70223.8685616658
Cell1281	60366.963651581
Cell1282	50834.736541461
Cell1283	63444.9657905839
Cell1284	64084.4755366774
Cell1285	50844.2060931526
Cell1286	59530.8614533706
Cell1287	89335.6881372135
Cell1288	47769.6981403684
Cell1289	80373.1720420366
Cell1290	57215.8488452448
Cell1291	80536.2054346432
Cell1292	50583.9375472158
Cell1293	59086.6881083085
Cell1294	63719.5498610542
Cell1295	58540.9597180969
Cell1296	68305.6501619787
Cell1297	57908.9773044318
Cell1298	76250.1523905331
Cell1299	61950.0619326575
Cell1300	68767.321112363
Cell1301	47235.0089975603
Cell1302	52487.070489624
Cell1303	74451.3811828679
Cell1304	66287.5375708872
Cell1305	58268.6023958237
Cell1306	58585.5555352694
Cell1307	69632.0363002412
Cell1308	57253.1382023659
Cell1309	60778.4785568941
Cell1310	43079.7806501085
Cell1311	85374.4259539117
Cell1312	69786.3410888565
Cell1313	70718.1522018135
Cell1314	40900.9469880694
Cell1315	59625.1452806916
Cell1316	55172.1302234499
Cell1317	45466.1212045769
Cell1318	69250.5298219396
Cell1319	76636.3017189427
Cell1320	53602.7214357223
Cell1321	57191.5800388309
Cell1322	84313.0889109023
Cell1323	43046.5952879592
Cell1324	69483.4696908074
Cell1325	56229.4396099774
Cell1326	58509.1149222281
Cell1327	52987.1723149039
Cell1328	74558.4809631639
Cell1329	47789.7508336753
Cell1330	72585.6046785484
Cell1331	79323.7456274298
Cell1332	43116.8908426132
Cell1333	47792.2686412245
Cell1334	67393.8533463799
Cell1335	49451.0305016587
Cell1336	52140.3303206283
Cell1337	54771.7290478367
Cell1338	55887.8986912476
Cell1339	68922.6153160157
Cell1340	53071.6861253883
Cell1341	60953.7148678109
Cell1342	69390.0613095884
Cell1343	43999.0847296706
Cell1344	52160.1223085471
Cell1345	71108.2535004229
Cell1346	55530.9638775144
Cell1347	36061.5797936947
Cell1348	50434.8737506417
Cell1349	70488.530060381
Cell1350	54977.6610045847
Cell1351	55219.5663318481
Cell1352	58153.7797100544
Cell1353	69140.3152886504
Cell1354	54272.9839822363
Cell1355	65853.7522736354
Cell1356	67146.4096968966
Cell1357	48836.2470945777
Cell1358	59137.7976500365
Cell1359	53762.9033593531
Cell1360	65081.1964345053
Cell1361	44282.4922349403
Cell1362	81457.2796358643
Cell1363	78370.5593813736
Cell1364	50585.934609997
Cell1365	52366.6467077892
Cell1366	49926.2657189757
Cell1367	58261.2142167138
Cell1368	54165.1183486004
Cell1369	61238.2754808749
Cell1370	41149.065135124
Cell1371	61803.1333051832
Cell1372	60060.7923597183
Cell1373	43472.3032652877
Cell1374	63271.7751086009
Cell1375	60535.8195787638
Cell1376	57175.7610140096
Cell1377	59716.0878844447
Cell1378	64665.9352796225
Cell1379	64173.4429832773
Cell1380	54922.4488276838
Cell1381	75360.2787281792
Cell1382	59438.2692531078
Cell1383	58269.8284251447
Cell1384	72324.8900143401
Cell1385	73014.1306783222
Cell1386	52045.1062269018
Cell1387	49108.5417787656
Cell1388	51993.6247698783
Cell1389	47327.4063129539
Cell1390	41930.1580548932
Cell1391	63711.5729719903
Cell1392	58161.4432933618
Cell1393	68084.8466169106
Cell1394	59854.274433365
Cell1395	64979.8559520004
Cell1396	54219.091686262
Cell1397	49413.473466219
Cell1398	69956.3283004311
Cell1399	69718.7188113678
Cell1400	42330.2637043773
Cell1401	71357.5854404847
Cell1402	41995.8344343901
Cell1403	59329.5357970778
Cell1404	55327.5109424862
Cell1405	58360.1601446745
Cell1406	74551.656980464
Cell1407	46581.3920379075
Cell1408	56777.9463639912
Cell1409	99773.7596140013
Cell1410	44548.7216966723
Cell1411	52821.9702492997
Cell1412	59384.5633629042
Cell1413	62317.0687493888
Cell1414	53816.6877830507
Cell1415	56771.7167676992
Cell1416	74371.6100629576
Cell1417	57748.3989433467
Cell1418	62963.537241545
Cell1419	64466.9808584811
Cell1420	64952.1972813261
Cell1421	66072.0441598044
Cell1422	60531.9446739919
Cell1423	51961.8557316985
Cell1424	59180.409737527
Cell1425	49380.7344170827
Cell1426	61003.020560892
Cell1427	55849.7190087918
Cell1428	58473.7440241985
Cell1429	48058.8609566333
Cell1430	56578.5217344143
Cell1431	48148.8756241799
Cell1432	55208.2065820749
Cell1433	66528.2169655796
Cell1434	62823.4692211379
Cell1435	71658.8893209534
Cell1436	66012.1190014999
Cell1437	61230.3507611932
Cell1438	73105.7768599447
Cell1439	75988.9612304
Cell1440	45257.4459320357
Cell1441	71569.8766561329
Cell1442	69953.9042964748
Cell1443	72285.79409317
Cell1444	49923.1178258239
Cell1445	96934.0538339024
Cell1446	35637.3657152113
Cell1447	59956.3818401352
Cell1448	61305.2850149139
Cell1449	58108.1108542021
Cell1450	69534.2459429014
Cell1451	61378.0133583375
Cell1452	51245.8055414399
Cell1453	79380.3917223255
Cell1454	56456.0443559928
Cell1455	67652.2389410039
Cell1456	52401.8923930049
Cell1457	48437.2015411634
Cell1458	53041.6249216152
Cell1459	48466.674441483
Cell1460	66610.7526391527
Cell1461	43896.1316149658
Cell1462	49232.1481578449
Cell1463	60200.965599796
Cell1464	42484.1156908509
Cell1465	54123.4265764649
Cell1466	56331.8550860344
Cell1467	78371.5021351967
Cell1468	56868.2610295569
Cell1469	53924.6262261422
Cell1470	52436.4081050914
Cell1471	65476.3447761974
Cell1472	56168.4114274849
Cell1473	53704.0786438746
Cell1474	56617.0418428757
Cell1475	74090.7905936164
Cell1476	81925.5141843868
Cell1477	52647.6869597311
Cell1478	60120.3911320861
Cell1479	56115.2622189678
Cell1480	86810.1825658948
Cell1481	67383.3207065743
Cell1482	41934.9403308236
Cell1483	54895.0390532009
Cell1484	37852.4148613545
Cell1485	58771.1843862893
Cell1486	68926.2857922872
Cell1487	50066.2333968443
Cell1488	46327.8532646059
Cell1489	76968.9085963622
Cell1490	49368.8039190771
Cell1491	71794.042367655
Cell1492	62493.3057966084
Cell1493	71410.8162214388
Cell1494	73167.6746781411
Cell1495	75205.6846562182
Cell1496	76665.5068026389
Cell1497	63518.1075201418
Cell1498	61966.6864761531
Cell1499	49460.1287141545
Cell1500	47000.7188750311
Cell1501	53088.9135165677
Cell1502	58269.6569391179
Cell1503	49145.7397368527
Cell1504	70713.0206773054
Cell1505	51071.816953552
Cell1506	64093.1595806043
Cell1507	71259.6811057685
Cell1508	47267.0067297511
Cell1509	73466.0589201627
Cell1510	39273.8069075427
Cell1511	62689.7055628038
Cell1512	81011.1564653929
Cell1513	66908.9218245113
Cell1514	71895.9892811459
Cell1515	53600.875192512
Cell1516	63555.9066931073
Cell1517	74703.0281610467
Cell1518	45897.6906907006
Cell1519	73155.2245104747
Cell1520	45167.7775370928
Cell1521	54189.573336909
Cell1522	101169.374902625
Cell1523	66312.4613961474
Cell1524	58796.1326906264
Cell1525	72820.5253335855
Cell1526	57024.6134556225
Cell1527	67803.0048211687
Cell1528	55886.658088455
Cell1529	37382.3927637312
Cell1530	65806.7388807679
Cell1531	54052.1154489599
Cell1532	53384.704965216
Cell1533	59919.6298486161
Cell1534	78316.2335800424
Cell1535	63518.8697600033
Cell1536	70852.6316730948
Cell1537	67901.462995768
Cell1538	61103.2099564982
Cell1539	68475.0123803443
Cell1540	58240.5266211041
Cell1541	46636.4428256751
Cell1542	64185.1432176935
Cell1543	37965.6570476545
Cell1544	49156.1951672456
Cell1545	59165.3728277005
Cell1546	57979.6926737386
Cell1547	55046.1771183943
Cell1548	72963.7632656885
Cell1549	48343.0255754361
Cell1550	35499.4082601701
Cell1551	69988.790992603
Cell1552	60416.7108108455
Cell1553	58588.9955229986
Cell1554	55367.892002834
Cell1555	42727.5888353341
Cell1556	49486.6942290768
Cell1557	66269.3530315743
Cell1558	60099.8857667191
Cell1559	45081.0800003194
Cell1560	67483.2289689713
Cell1561	70071.815045601
Cell1562	58283.4462280344
Cell1563	59678.2371742814
Cell1564	79366.2172811874
Cell1565	64793.9646419004
Cell1566	76418.1128018741
Cell1567	59336.7757644698
Cell1568	80490.7515289778
Cell1569	58974.6661072387
Cell1570	71937.2644752605
Cell1571	55884.6071539622
Cell1572	48271.6383181031
Cell1573	73153.9164844022
Cell1574	94769.3011392207
Cell1575	56096.2574357389
Cell1576	80319.7823957691
Cell1577	57103.3585906477
Cell1578	72019.9630087528
Cell1579	49126.8810071169
Cell1580	63267.6396628116
Cell1581	51393.5409598719
Cell1582	45687.3897410214
Cell1583	68254.9257118801
Cell1584	82613.5799418049
Cell1585	51138.7909613505
Cell1586	50172.621953539
Cell1587	48314.9868200502
Cell1588	54631.8215213448
Cell1589	68400.0888862
Cell1590	69040.2980274363
Cell1591	65420.4935569976
Cell1592	69697.3420874057
Cell1593	54514.6344593806
Cell1594	57841.2810308254
Cell1595	68624.8490982741
Cell1596	56595.4874709736
Cell1597	49398.5072552125
Cell1598	45454.6302931488
Cell1599	102694.858084637
Cell1600	42619.0659177035
Cell1601	60226.2348103968
Cell1602	88155.9661413732
Cell1603	70792.0634359189
Cell1604	57695.2850229063
Cell1605	66613.7196159529
Cell1606	85561.5473842699
Cell1607	62188.511802903
Cell1608	53432.9297867216
Cell1609	80047.7482643599
Cell1610	87011.7712765089
Cell1611	49172.4615534359
Cell1612	69130.503533801
Cell1613	61443.2620326593
Cell1614	68894.2680875671
Cell1615	66525.4304535073
Cell1616	59629.0040735386
Cell1617	65358.9856159337
Cell1618	46999.5960916079
Cell1619	45211.9183437474
Cell1620	69158.0560534636
Cell1621	60913.3170555168
Cell1622	58318.6134605685
Cell1623	42821.2435994254
Cell1624	53428.5433521328
Cell1625	62220.5761429237
Cell1626	54324.7615531484
Cell1627	60855.4587443742
Cell1628	64665.2634138999
Cell1629	58250.0136517289
Cell1630	65219.8155910047
Cell1631	57033.1017259969
Cell1632	56180.7490962482
Cell1633	56907.2894242502
Cell1634	68034.9951292149
Cell1635	70559.6038739235
Cell1636	95520.4669688066
Cell1637	49184.7300012049
Cell1638	51974.5010045853
Cell1639	68106.6283683732
Cell1640	83077.8223355135
Cell1641	76521.6996335716
Cell1642	54527.4147074876
Cell1643	52279.1959143883
Cell1644	84059.5247014725
Cell1645	81517.2040848679
Cell1646	62498.9801763014
Cell1647	84131.6118289297
Cell1648	59778.5771472717
Cell1649	50839.0443052438
Cell1650	59271.150510703
Cell1651	60838.8727022253
Cell1652	43830.5253937243
Cell1653	57855.3037013804
Cell1654	55065.4954129197
Cell1655	66055.9483118191
Cell1656	53839.049701977
Cell1657	65936.2749516084
Cell1658	66653.1914385669
Cell1659	56620.9965073122
Cell1660	59355.4098223007
Cell1661	96404.0081825959
Cell1662	81601.7692474443
Cell1663	81711.693647445
Cell1664	60574.0732300673
Cell1665	50617.0733777112
Cell1666	67119.150842733
Cell1667	60670.2994421512
Cell1668	122630.604301273
Cell1669	40685.2496495807
Cell1670	57493.8634884819
Cell1671	80558.8329729662
Cell1672	39351.7891325551
Cell1673	56844.245229916
Cell1674	64011.2153720574
Cell1675	57300.9499828859
Cell1676	49694.306060887
Cell1677	58428.0847422788
Cell1678	78253.2534123207
Cell1679	45721.9497290183
Cell1680	79456.6719299821
Cell1681	71884.0576115285
Cell1682	46754.3424157377
Cell1683	44349.11040679
Cell1684	60289.1683230235
Cell1685	63402.5860534815
Cell1686	75905.2870278848
Cell1687	59426.1786116669
Cell1688	65125.6864041225
Cell1689	77485.7475980344
Cell1690	75670.0588206866
Cell1691	70630.5981266116
Cell1692	63881.3932820169
Cell1693	64614.2389258248
Cell1694	76154.8401134348
Cell1695	74640.6952468631
Cell1696	59142.0237224924
Cell1697	64403.160231049
Cell1698	83994.8242618836
Cell1699	80360.1272554265
Cell1700	49244.3770117181
Cell1701	79988.6745025732
Cell1702	58854.8114897996
Cell1703	43706.2346248927
Cell1704	77535.8145555939
Cell1705	60894.2207068466
Cell1706	72650.03852613
Cell1707	88240.6128215175
Cell1708	74308.0468974159
Cell1709	55786.1714753259
Cell1710	58280.0649674998
Cell1711	49147.1192929838
Cell1712	50800.3422519974
Cell1713	66032.7549158541
Cell1714	56395.4921694384
Cell1715	68299.0393096106
Cell1716	70719.8735967855
Cell1717	64388.6498661107
Cell1718	55285.7720770076
Cell1719	44374.2223491898
Cell1720	61262.6498382535
Cell1721	48651.439522183
Cell1722	68131.5568213027
Cell1723	69882.3980267137
Cell1724	63780.5032937948
Cell1725	48648.5574236729
Cell1726	51481.2293710899
Cell1727	54268.4951682527
Cell1728	61663.3573292692
Cell1729	95922.9561997811
Cell1730	49804.7802109977
Cell1731	38895.3678207608
Cell1732	58449.5922067334
Cell1733	50622.4855024184
Cell1734	38774.2644534587
Cell1735	50268.7255752629
Cell1736	55563.6300395738
Cell1737	48029.0088113638
Cell1738	69087.6986953257
Cell1739	71791.980825872
Cell1740	56108.2967786315
Cell1741	44519.5106457131
Cell1742	67429.2532872869
Cell1743	50464.483084764
Cell1744	50717.0027172494
Cell1745	61686.5603101805
Cell1746	49255.22792476
Cell1747	56447.3214484428
Cell1748	51318.4192712144
Cell1749	64760.8634912585
Cell1750	50551.0410664602
Cell1751	50576.7879477738
Cell1752	49395.8806053015
Cell1753	60006.6057316284
Cell1754	76342.8602679604
Cell1755	50122.450318553
Cell1756	62543.6662821542
Cell1757	52510.9290911049
Cell1758	48160.6140709405
Cell1759	74475.5512689735
Cell1760	53431.4357216785
Cell1761	82798.2351984747
Cell1762	52187.7102789977
Cell1763	68281.8547698204
Cell1764	74767.489942424
Cell1765	91871.3167589724
Cell1766	50706.3099363515
Cell1767	60796.1152038646
Cell1768	72197.8025801521
Cell1769	54158.307626144
Cell1770	67438.4556480559
Cell1771	54933.0124347947
Cell1772	47730.8008906076
Cell1773	38275.5154728063
Cell1774	66365.1875761809
Cell1775	55916.7120040077
Cell1776	84421.3394544245
Cell1777	47892.9896232942
Cell1778	54301.3341807159
Cell1779	70366.0695034163
Cell1780	56828.7848383945
Cell1781	66013.3308748691
Cell1782	78476.678008352
Cell1783	92536.9328866404
Cell1784	60492.6665269546
Cell1785	50634.1187149394
Cell1786	48198.202081935
Cell1787	53674.5074503134
Cell1788	54978.5319073445
Cell1789	46995.1878330762
Cell1790	67478.1148305486
Cell1791	79600.7789681628
Cell1792	54794.2354501969
Cell1793	48626.9560258874
Cell1794	46407.6958973847
Cell1795	69844.7584932198
Cell1796	60252.8121164294
Cell1797	40905.878066523
Cell1798	58410.3841951723
Cell1799	59878.0741050898
Cell1800	50576.6016859614
Cell1801	46898.1414592305
Cell1802	54688.1758419769
Cell1803	52027.9323407591
Cell1804	52319.4734945547
Cell1805	37774.7195126713
Cell1806	58112.3461790071
Cell1807	72383.8087992364
Cell1808	75453.5483391476
Cell1809	90659.9068636412
Cell1810	63136.7314500727
Cell1811	48513.5895299609
Cell1812	66202.1651274985
Cell1813	74605.4622950339
Cell1814	87317.0447411932
Cell1815	70421.2751366833
Cell1816	79510.8493989951
Cell1817	65370.9977978946
Cell1818	46374.2523654373
Cell1819	50398.9368180858
Cell1820	87325.4458231359
Cell1821	68927.9794677663
Cell1822	52389.2080018028
Cell1823	51992.6234925504
Cell1824	49804.2840302738
Cell1825	61678.7448347631
Cell1826	56953.8476092164
Cell1827	49595.0450321637
Cell1828	76331.4105101614
Cell1829	60096.884861948
Cell1830	69672.874076878
Cell1831	55491.6290261317
Cell1832	62006.2051863155
Cell1833	73622.4040909247
Cell1834	68538.0811575724
Cell1835	72276.639338312
Cell1836	41550.8802549499
Cell1837	62034.1845790028
Cell1838	57620.773206356
Cell1839	52573.1208678143
Cell1840	53522.678044344
Cell1841	83713.3011694331
Cell1842	65258.1955820657
Cell1843	58167.3032445238
Cell1844	72244.0422544635
Cell1845	53685.6301704207
Cell1846	61560.1529577257
Cell1847	79967.2506262485
Cell1848	56020.5789111947
Cell1849	51029.9883391024
Cell1850	53655.617605457
Cell1851	48525.308186112
Cell1852	62977.4810740573
Cell1853	63931.8128911617
Cell1854	71049.6693747705
Cell1855	85849.621230625
Cell1856	79304.3421687118
Cell1857	46622.644761561
Cell1858	89305.8050485492
Cell1859	61565.4242638204
Cell1860	55418.357425148
Cell1861	86779.625001551
Cell1862	65236.2827411637
Cell1863	84639.6428898514
Cell1864	59355.2150248281
Cell1865	51729.4659099026
Cell1866	40408.9746772824
Cell1867	75009.7259195131
Cell1868	50130.411672039
Cell1869	71272.9286572546
Cell1870	61327.198184751
Cell1871	65807.3615661581
Cell1872	77136.2009641179
Cell1873	54335.6986826992
Cell1874	54594.7652592002
Cell1875	57162.212163411
Cell1876	74018.5306100701
Cell1877	54450.2575893282
Cell1878	57808.8954771949
Cell1879	70211.3248616167
Cell1880	69964.9067493668
Cell1881	70218.0383282528
Cell1882	60464.4165366004
Cell1883	69739.5304238418
Cell1884	63398.6986333806
Cell1885	52756.2217562846
Cell1886	85894.6561715646
Cell1887	41249.6458139364
Cell1888	70905.6696545979
Cell1889	64108.5831588597
Cell1890	60147.5218605763
Cell1891	52982.6617547567
Cell1892	56834.2630471711
Cell1893	85916.7482632683
Cell1894	58723.7865820988
Cell1895	55442.5517500983
Cell1896	50227.9825402552
Cell1897	54224.292906139
Cell1898	58873.2148173366
Cell1899	45636.1564803047
Cell1900	75247.6206884738
Cell1901	61057.1388687419
Cell1902	80258.1991381732
Cell1903	72990.6894740355
Cell1904	79449.5374577151
Cell1905	45835.7872568705
Cell1906	67232.8151279902
Cell1907	55694.4487258756
Cell1908	59315.7121386489
Cell1909	53109.1498379214
Cell1910	62506.1917391855
Cell1911	61005.9266782574
Cell1912	39184.3658933497
Cell1913	71003.795885112
Cell1914	61751.5845236268
Cell1915	49297.4518439123
Cell1916	48036.40465864
Cell1917	52153.7320872292
Cell1918	43620.0861845741
Cell1919	61546.8045109827
Cell1920	80859.5348782682
Cell1921	62228.9943630112
Cell1922	66531.5098601848
Cell1923	44505.0854659928
Cell1924	44009.4584837381
Cell1925	50046.7787792456
Cell1926	69162.4936884573
Cell1927	50166.3424184612
Cell1928	66951.228813076
Cell1929	57311.2660769877
Cell1930	64648.7918500173
Cell1931	48638.7578140087
Cell1932	49523.4488378549
Cell1933	58639.7345163734
Cell1934	57426.3065426011
Cell1935	41867.0316033041
Cell1936	66663.7685533439
Cell1937	40540.6634820736
Cell1938	55102.6510651884
Cell1939	60537.9629566786
Cell1940	52031.2644431116
Cell1941	45217.1714713462
Cell1942	55283.8009280689
Cell1943	58566.3536040697
Cell1944	49770.8280748093
Cell1945	45640.5292418083
Cell1946	47149.5197979961
Cell1947	53868.568610581
Cell1948	54692.1037632287
Cell1949	79530.5925548744
Cell1950	46298.4504122749
Cell1951	64616.8045226875
Cell1952	55078.0351627831
Cell1953	60996.5316997311
Cell1954	52432.5621739976
Cell1955	70302.6995790553
Cell1956	42590.3708754979
Cell1957	61745.8110234962
Cell1958	60187.2069744865
Cell1959	73952.085987214
Cell1960	57245.629456428
Cell1961	66126.1313233915
Cell1962	64856.135176896
Cell1963	52607.6828508424
Cell1964	58879.4520440573
Cell1965	58295.2421947
Cell1966	74900.8689640962
Cell1967	62808.4058438977
Cell1968	63457.1683532393
Cell1969	95675.7628571126
Cell1970	65072.6503543096
Cell1971	64376.0028163141
Cell1972	66591.7866330387
Cell1973	81601.950811325
Cell1974	72569.3300258925
Cell1975	64067.1631129302
Cell1976	52987.3984487739
Cell1977	64306.1409339864
Cell1978	61592.8909358048
Cell1979	41470.6709072463
Cell1980	43993.3511265254
Cell1981	41819.7262527715
Cell1982	79451.5738983903
Cell1983	67755.9513949746
Cell1984	37418.0662865988
Cell1985	65736.283822879
Cell1986	60643.4182101636
Cell1987	56882.778494254
Cell1988	51590.6427179309
Cell1989	46452.9357536335
Cell1990	71148.5768767823
Cell1991	53349.1362113116
Cell1992	58311.0289546734
Cell1993	67330.2988501384
Cell1994	66635.9869639948
Cell1995	55343.6945810825
Cell1996	53738.1317285218
Cell1997	63063.0427151172
Cell1998	47303.7213943363
Cell1999	63654.6524582702
Cell2000	61988.0092310581
